Diseases	Genes
adrenal gland diseases	3758,215,3762,1589,1585,6770,2516,6557,5573,2778,7809,1584,1586,51,1187,190,3284,7157
alzheimer disease	5663,23036,348,5664,55103,10452,1191,2629,2041,10913,51435,4536,4535,351,7305,4973,5819,344558,1378,9627,8301,23607,945,5071,341,274,25902,9846,54209
amino acid metabolism inborn errors	445,383,2109,3815,11234,388552,4286,275,2110,6898,7299,435,7306,5096,37,36,875,5009,3257,84343,34,89781,28976,10157,84062,8546,26258,2731,1585,2653,593,2108,686,5053,1738,35,5092,10165,2184,5095,3141,5860,4935,79803,594,1373,5184,3242,3081,1629,2639,27034
amyotrophic lateral sclerosis	6647,1639,6311,57679,10133,2521,998,22920,203228,283,1804,23064,4744,23025,9217,54822,7074,155061,7415,29978,23435
anemia aplastic	3458,6125,6135,7015,2187,6229,2177,2175,2176,6223,6218,55215,4683,6201,6231,6165,2189,55120,2178,6204,79728
anemia hemolytic	629,51251,146059,6708,2539,3043,2035,2729,203,6710,3426,3098,6521,3075,2623,2821,7056,5277,718,10483,286,2038,3040,4179,81494,546,10661,3039,50943
aneurysm	90627,66037,4035,2200,153090,5932,59,7048,7046,1281,6101,64321,4638,4088,4629
arrhythmias cardiac	3759,6640,10008,10060,5308,3757,51422,287,3753,55800,387101,3762,6331,6324,10021,4878,3741,1804,387119,775,859,3784,783,9992,9722,10142,4624,463,2702,6330
arterial occlusive diseases	348,54984,8613,221692,79659,23294,1284,55973,10743,2921,84159,4040,5294,80310,8882,57674,375056,6597,51530,1909,28,6943,7015,4205,55759,1008,217,3184,10400,84722,23293,8997,23209,9992,341,6387,1495,4018,22808,65264,22882,1282,1952,59
arteriosclerosis	54984,8613,79659,23294,1284,55973,10743,1909,84159,4040,5294,80310,8882,375056,6597,51530,221692,28,6943,7015,4205,55759,217,23293,10400,84722,348,8997,23209,9992,341,6387,4018,22808,65264,22882,1282,1952
